"Dowaba AI — Setup & Settings","Dowaba AI — Kurulum & Ayarlar"
"Dowaba AI settings saved.","Dowaba AI ayarları kaydedildi."
"Invalid IP in whitelist: %1","Beyaz listede geçersiz IP: %1"
"Connect your Magento store to Dowaba AI. Customers search, compare and order via WhatsApp / Instagram / Email / Voice — 24/7, multilingual.","Magento mağazanızı Dowaba AI'ya bağlayın. Müşteriler WhatsApp / Instagram / E-posta / Sesli kanaldan ürün arar, karşılaştırır ve sipariş verir — 7/24, çok dilli."
"Generate API Key","API Anahtarı Üret"
"The Bearer token Dowaba uses to call your store. Shown only once — copy it now.","Dowaba'nın mağazanızı çağırırken kullandığı Bearer token. Yalnızca bir kez gösterilir — şimdi kopyalayın."
"Current key prefix:","Mevcut anahtar ön eki:"
"last used: %1","son kullanım: %1"
"No API key yet — generate one to activate the connection.","Henüz API anahtarı yok — bağlantıyı etkinleştirmek için bir tane üretin."
"Generate / Regenerate Key","Anahtar Üret / Yenile"
"Your new API key (copy now, it will not be shown again):","Yeni API anahtarınız (şimdi kopyalayın, tekrar gösterilmeyecek):"
"Copy","Kopyala"
"Recommended: Authorization header passthrough","Önerilen: Authorization header geçişi"
"On some Apache/LiteSpeed/FastCGI hosts the Authorization header is stripped. If so, add these two lines to your store root .htaccess:","Bazı Apache/LiteSpeed/FastCGI sunucularında Authorization header silinir. Bu durumda mağaza kök .htaccess dosyanıza şu iki satırı ekleyin:"
"If you cannot edit .htaccess, the connection still works — the token is also passed as a query parameter automatically.","htaccess dosyasını düzenleyemiyorsanız bağlantı yine çalışır — token otomatik olarak query parametresi olarak da gönderilir."
"Copy the Manifest URL","Manifest URL'ini kopyalayın"
"Paste this together with your API key into the Dowaba panel → Site → Integrations → Bundle Import.","Bunu API anahtarınızla birlikte Dowaba paneli → Site → Entegrasyonlar → Bundle Import alanına yapıştırın."
"Activation & Scopes","Etkinleştirme & İzinler"
"Module enabled","Modül etkin"
"Master switch — when off, every API call returns 503.","Ana anahtar — kapalıyken her API çağrısı 503 döner."
"Read scope (products, stock, orders, customers)","Okuma izni (ürün, stok, sipariş, müşteri)"
"Write scope (create orders)","Yazma izni (sipariş oluşturma)"
"Off by default. Enable only when you want the AI to place orders (2-step customer confirmation always applies).","Varsayılan kapalı. Yalnızca AI'ın sipariş oluşturmasını istiyorsanız açın (2 adımlı müşteri onayı her zaman geçerlidir)."
"Security (optional)","Güvenlik (opsiyonel)"
"IP whitelist (comma-separated)","IP beyaz listesi (virgülle ayrılmış)"
"Leave empty to allow any IP. Dowaba production: %1","Tüm IP'lere izin vermek için boş bırakın. Dowaba üretim: %1"
"Manifest base URL override (advanced)","Manifest taban URL geçersiz kılma (gelişmiş)"
"Only needed behind a CDN/tunnel where the request host differs from your public URL.","Yalnızca istek host'unun genel URL'inizden farklı olduğu CDN/tünel arkasında gereklidir."
"Audit log retention (days)","Denetim günlüğü saklama (gün)"
"Save settings","Ayarları kaydet"
"Test the connection","Bağlantıyı test et"
"Run connection test","Bağlantı testini çalıştır"
"Audit log","Denetim günlüğü"
"Every inbound API call is logged. Use this to verify Dowaba is reaching your store.","Gelen her API çağrısı kaydedilir. Dowaba'nın mağazanıza ulaştığını doğrulamak için kullanın."
"Load recent calls","Son çağrıları yükle"
